Recipient,Supplier,Year of order, ,Number ordered, ,Weapon designation,Weapon description,Number delivered, ,Year(s) of delivery,status,Comments,SIPRI TIV per unit,SIPRI TIV for total order,SIPRI TIV of delivered weapons
Algeria,Russia,2014,?,360,,Berezhok,IFV turret,360,?,2015; 2016; 2017,New,For modernization of 360 BMP-1 IFV to BMP-1M,0.6,216,216
Algeria,Russia,2005,,400,?,Berezhok,IFV turret,400,?,2006; 2007; 2008; 2009; 2010,New,For modernization of 400 BMP-1 IFV to BMP-1M,0.6,240,240
Algeria,Russia,2020,?,,,Berezhok,IFV turret,20,?,2022,New,For modification of T-62 tanks to armoured fire support vehicles,0.6,0,12
Algeria,Spain,2019,?,25,?,Guardian,APC turret,25,?,2020,New,,0.05,1.25,1.25
Argentina,France,1981,,57,,FL-12 105mm,tank turret,57,,1981,New,For 57 SK-105 tanks from Austria,0.5,28.5,28.5
Argentina,France,1978,?,93,?,FL-12 105mm,tank turret,93,?,1978; 1979,New,For 93 SK-105 tanks from Austria,0.5,46.5,46.5
Austria,Canada,1979,?,87,?,Centurion turret,tank turret,87,?,1980,Second hand,Second-hand; sold via West Germany; for use in fortifications,0.3,26.1,26.1
Austria,Israel,2009,,150,,ORCWS,APC turret,150,?,2009; 2010; 2011; 2012; 2013,New,$25 m deal; for 150 LMV APV from Italy,0.05,7.5,7.5
Austria,Israel,2017,?,34,?,WS4 Panther,APC turret,34,?,2018; 2019; 2020,New,Produced in Austria; for Pandur EVO APCs,0.05,1.7,1.7
Austria,Switzerland,1959,?,76,,GAD-AOA,IFV turret,76,?,1962; 1963; 1964; 1965; 1966; 1967; 1968; 1969,New,For 76 4K-4FA-G2 IFV produced in Austria,0.1,7.6,7.6
Austria,United States,1984,,120,,Centurion turret,tank turret,120,?,1985; 1986,Second hand,Second-hand Centurion-5/2 version returned by Netherlands to USA (legal owner since tanks originally paid by US 'MDAP' aid) and sold to Austria; turrets used in fortifications (rest of tanks scrapped); $0.46 m deal,0.3,36,36
Australia,France,2015,,2,,air refuel system,air refuel system,2,,2018; 2019,New,For modification of 2 A330 transport aircraft to A330 MRTT tanker/transport aircraft,10,20,20
Australia,Israel,1988,,4,,air refuel system,air refuel system,4,?,1991; 1992,New,For $31 m modification of 4 Boeing-707 transport aircraft to tanker/transport aircraft,10,40,40
Australia,Norway,2006,?,59,?,Protector,APC turret,59,?,2007,New,,0.05,2.95,2.95
Australia,United Kingdom,2004,,5,,air refuel system,air refuel system,5,?,2011; 2012,New,For 5 A-330 MRTT tanker/transport aircraft from France,10,50,50
Australia,United Kingdom,2015,,2,,air refuel system,air refuel system,2,,2018; 2019,New,For modification of 2 A330 transport aircraft to A330 MRTT tanker/transport aircraft,10,20,20
Australia,United States,1998,,81,?,LAV-25 turret,IFV turret,81,?,2003; 2004; 2005,New,For 81 Piranha/LAV-25 IFV from Canada,0.6,48.6,48.6
Azerbaijan,South Africa,2007,,10,?,Vector,helicopter turret,10,?,2009; 2010,New,For modernization of Azerbaijani Mi-24 to Mi-24G in Ukraine,0.5,5,5
