Recipient,Supplier,Year of order, ,Number ordered, ,Weapon designation,Weapon description,Number delivered, ,Year(s) of delivery,status,Comments,SIPRI TIV per unit,SIPRI TIV for total order,SIPRI TIV of delivered weapons
Afghanistan,Bosnia-Herzegovina,2009,,60,,D-30 122mm,towed gun,60,?,2011,Second hand but modernized,Second-hand but modernized before delivery,0.23,13.86,13.86
Afghanistan,Bosnia-Herzegovina,2012,?,20,?,D-30 122mm,towed gun,20,,2013,Second hand,Second-hand,0.14,2.8,2.8
Afghanistan,Slovakia,2006,,24,?,D-30 122mm,towed gun,24,,2006,Second hand,Second-hand; aid,0.14,3.36,3.36
Afghanistan,Turkiye,2007,,24,,M-114 155mm,towed gun,24,,2007,Second hand,Second-hand; aid,0.2,4.8,4.8
Afghanistan,Soviet Union,1988,?,40,?,2S9 120mm,self-propelled gun,40,?,1988,Second hand,Second-hand; aid; handed over by Soviet forces withdrawing from Afghanistan,0.3,12,12
Afghanistan,Soviet Union,1988,?,13,?,9P113,SSM launcher,13,?,1988,Second hand,Second-hand,0.2,2.6,2.6
Afghanistan,Soviet Union,1988,?,30,?,9P117 Uragan,SSM launcher,30,?,1988; 1989; 1990,New,Possibly second-hand; mainly for use against Mujahideen rebel forces; operated by Soviet crews 1988-1992,1,30,30
Afghanistan,Soviet Union,1960,?,50,?,BM-13 132mm,self-propelled MRL,50,?,1960; 1961,Second hand,Second-hand,0.08,4,4
Afghanistan,Soviet Union,1979,?,142,?,BM-21 Grad 122mm,self-propelled MRL,142,?,1979; 1980; 1981; 1982; 1983; 1984; 1985; 1986; 1987; 1988,New,,0.6,85.2,85.2
Afghanistan,Soviet Union,1958,?,250,?,BS-3 100mm,towed gun,250,?,1959; 1960; 1961; 1962,Second hand,Second-hand,0.14,35,35
Afghanistan,Soviet Union,1960,?,200,?,D-1 152mm,towed gun,200,?,1961; 1962; 1963; 1964,Second hand,Second-hand,0.2,40,40
Afghanistan,Soviet Union,1979,?,120,?,D-1 152mm,towed gun,120,?,1979; 1980; 1981; 1982; 1983; 1984; 1985; 1986; 1987; 1988,Second hand,Second-hand,0.2,24,24
Afghanistan,Soviet Union,1978,?,508,?,D-30 122mm,towed gun,508,?,1978; 1979; 1980; 1981; 1982; 1983; 1984; 1985; 1986; 1987; 1988; 1989; 1990; 1991,New,,0.35,177.8,177.8
Albania,China,1968,?,90,?,D-20 152mm,towed gun,90,?,1968; 1969; 1970; 1971; 1972; 1973,New,Type-66 version,0.5,45,45
Albania,China,1970,?,100,?,Type-59-1 130mm,towed gun,100,?,1971; 1972; 1973; 1974; 1975,New,,0.7,70,70
Albania,China,1968,?,270,?,Type-63 107mm,towed MRL,270,?,1969; 1970; 1971; 1972; 1973; 1974; 1975,New,,0.05,13.5,13.5
Albania,China,1975,?,50,?,Type-86 100mm,towed gun,50,?,1976; 1977; 1978,New,No. delivered could be up to 100,0.33,16.5,16.5
Albania,Soviet Union,1952,?,225,?,A-19 122mm,towed gun,225,?,1952; 1953; 1954; 1955; 1956,Second hand,Second-hand,0.16,36,36
Albania,Soviet Union,1956,?,100,?,M-1943 160mm,mortar,100,?,1957; 1958; 1959; 1960,Second hand,Supplier may be China; probably second-hand,0.14,14,14
Albania,Soviet Union,1956,?,200,?,M-30 122mm,towed gun,200,?,1956; 1957; 1958; 1959,Second hand,Probably second-hand,0.18,36,36
