Recipient,Supplier,Year of order, ,Number ordered, ,Weapon designation,Weapon description,Number delivered, ,Year(s) of delivery,status,Comments,SIPRI TIV per unit,SIPRI TIV for total order,SIPRI TIV of delivered weapons
Afghanistan,Canada,2013,,20,?,aircraft engine,aircraft engine,20,?,2016,New,Pratt & Whitney Canada PT-6A-68 (1250hp) turboprop; for 20 EMB-314 trainer/combat aircraft from Brazil,0.5,10,10
Afghanistan,Canada,2017,,6,?,aircraft engine,aircraft engine,6,?,2018,New,Pratt & Whitney Canada PT-6A-68 (1250hp) turboprop; for 6 EMB-314 trainer/combat aircraft from Brazil,0.5,3,3
Afghanistan,Russia,2004,,6,,aircraft engine,aircraft engine,6,,2005,New,Klimov TV-3-117 turboshaft; spare engines for Mi-24 combat helicopters,0.5,3,3
Afghanistan,Soviet Union,1977,?,26,,AI-25,turbofan,26,?,1977; 1978,New,For 26 L-39 trainer aircraft from Czechoslovakia; Titan (AI-25TL) version produced in Czechoslovakia,0.6,15.6,15.6
Algeria,Canada,2004,,12,,aircraft engine,aircraft engine,12,?,2005; 2006,New,Pratt & Whitney Canada PW-127G (2650hp) turboprop for 6 C-295 transport aircraft from Spain,0.75,9,9
Algeria,Finland,2011,,2,,ship engine,ship engine,2,,2014,New,Wärtsilä-12V32 diesel engine; for 1 BDSL AALS from Italy,1.5,3,3
Algeria,France,2004,?,2,,ship engine,ship engine,2,,2006,New,6PC2.5L (3900hp) diesel engine; for 1 Daxin training ship from China; probably from Chinese production line,1.2,2.4,2.4
Algeria,France,2020,?,2,?,ship engine,ship engine,2,,2023,New,SEMT-Pielstick 16PA-6 (6900hp) diesel engine for 1 Type-056A frigate from China; probably from Chinese production line,2.5,5,5
Algeria,Germany,1983,?,9,,ship engine,ship engine,9,,1988; 1995; 2002,New,MTU 20V-538 (4260hp) diesel engine for 3 Djebel Chenoua FAC produced in Algeria,1.5,13.5,13.5
Algeria,Germany,2012,?,12,?,ship engine,ship engine,12,?,2015; 2016,New,MTU 16V1163 (8050hp) diesel engine for 3 C-28A frigates from China,3,36,36
