Recipient,Supplier,Year of order, ,Number ordered, ,Weapon designation,Weapon description,Number delivered, ,Year(s) of delivery,status,Comments,SIPRI TIV per unit,SIPRI TIV for total order,SIPRI TIV of delivered weapons
Algeria,Italy,2012,,2,?,127/64LW 127mm,naval gun,2,,2016,New,For 2 MEKO-A200 frigates from Germany,7,14,14
Algeria,Italy,1981,?,2,,Compact 76mm,naval gun,2,,1982; 1983,New,For 2 Kebir (El Yadekh) patrol craft from UK,2.5,5,5
Algeria,Russia,1995,?,3,,AK-176 76mm,naval gun,3,?,2000; 2001; 2002,New,For 3 Djebel Chenoua FAC produced in Algeria,2.5,7.5,7.5
Algeria,Russia,1992,?,2,,AK-630 30mm,naval gun,2,,1995; 2002,New,For 2 Djebel Chenoua FAC produced in Algeria,1,2,2
Algeria,Russia,2004,?,2,,AK-630 30mm,naval gun,2,,2006,New,For 1 Daxin training ship from China,1,2,2
Algeria,Soviet Union,1983,?,1,,AK-630 30mm,naval gun,1,,1988,New,For 1 Djebel Chenoua FAC produced in Algeria,1,1,1
Angola,South Africa,2012,,2,,Umkhonto VLS,naval SAM system,2,,2016,New,For 2 MEKO A-200 (Erradii) frigates from Germany,5,10,10
Argentina,Italy,1978,,4,,Albatros,naval SAM system,4,,1983; 1984,New,For 4 MEKO-360 (Almirante Brown) frigates from FRG,5,20,20
Argentina,Italy,1979,?,6,,Compact 76mm,naval gun,6,,1985; 1986; 1987; 1990; 2000; 2004,New,For 6 MEKO-140 (Espora) frigates from FRG,2.5,15,15
Argentina,Italy,1970,,2,,Compact 76mm,naval gun,2,,1974,New,For 2 TNC-45 (Intrepida) FAC from FRG,2.5,5,5
Argentina,Italy,1978,?,28,,Compact 40L70,naval gun,28,,1983; 1984; 1985; 1986; 1987; 1990; 2000; 2004,New,For 4 MEKO-360 and 6 MEKO-140 frigates from FRG,2.5,70,70
Argentina,Italy,1978,?,4,,Compatto 127mm,naval gun,4,,1983; 1984,New,For 4 MEKO-360 Type (Almirante Brown Class) frigates,5.25,21,21
Australia,United Kingdom,1950,,4,,102mm Mk-20,naval gun,4,?,1954; 1955; 1956; 1957,Second hand but modernized,Probably Second-hand but modernized before delivery; for modernization of 4 Q destroyers,0.83,3.3,3.3
Australia,United Kingdom,1950,,6,,AS-Mk-10 Limbo,ASW mortar,6,,1954; 1955; 1957,New,For modification of 3 Quilliam (Quadrant) destroyers to Type-15 frigates,5,30,30
Australia,United Kingdom,1950,,2,,Squid,ASW mortar,2,,1953,New,For modification of 1 Quilliam (Quadrant) destroyer to Type-15 frigate,1.5,3,3
Australia,United States,2006,,3,,Mk-41 VLS,naval SAM system,3,,2017; 2018; 2020,New,For 3 Hobart destroyers from Spain,20,60,60
Australia,United States,2002,?,4,,Mk-41 VLS,naval SAM system,4,,2006; 2007; 2008,New,For modernisation of 4 Perry (Adelaide) frigated,20,80,80
Australia,United States,2020,,9,,Mk-41 VLS,naval SAM system,0,,,New,For 9 Hunter frigates from UK,20,180,0
Australia,United States,1974,?,6,,Mk-42-9 127mm,naval gun,6,?,1975; 1978; 1979,New,Mk-42 Mod-10 version; for modernization of 3 Adams (Perth) destroyers,4.75,28.5,28.5
Australia,United States,1989,?,8,,Mk-45 127mm,naval gun,8,,1996; 1998; 2001; 2002; 2003; 2004; 2005; 2006,New,For 8 MEKO-200 (Anzac) frigates from FRG; Mk-45 Mod-2 version,5.25,42,42
