Recipient,Supplier,Year of order, ,Number ordered, ,Weapon designation,Weapon description,Number delivered, ,Year(s) of delivery,status,Comments,SIPRI TIV per unit,SIPRI TIV for total order,SIPRI TIV of delivered weapons
Afghanistan,Soviet Union,1964,?,9,?,P-12,air search radar,9,?,1965; 1966; 1967,New,Incl for use with S-75 (SA-2) SAM systems,4.5,40.5,40.5
Afghanistan,Soviet Union,1965,?,2,?,P-15,air search radar,2,?,1966; 1967,New,For use with S-75 (SA-2) SAM systems,4.5,9,9
Afghanistan,Soviet Union,1964,?,9,?,PRV-11,height-finding radar,9,?,1965; 1966; 1967,New,For use with S-75 (SA-2) SAM systems,4,36,36
Albania,China,1994,?,1,?,HY-2 CDS,coastal defence system,1,?,1995,New,,15,15,15
Albania,Soviet Union,1955,?,28,?,SON-9,fire control radar,28,?,1956; 1957; 1958; 1959; 1960; 1961,Second hand,Supplier uncertain; possibly second-hand; for use with S-60 57mm; KS-12 85mm and KS-19 100mm AA guns,0.24,6.72,6.72
Algeria,China,2018,?,4,?,DWL-002,air search system,4,?,2018; 2019,New,,12,48,48
Algeria,China,2000,?,3,,Type-347G,fire control radar,3,?,2000; 2001; 2002,New,For 3 Djebel Chenoua FAC produced in Algeria,2.5,7.5,7.5
Algeria,China,1983,?,3,,Type-363,air search radar,3,,1988; 1995; 2002,New,For 3 Djebel Chenoua FAC produced in Algeria,4.75,14.25,14.25
Algeria,China,2013,?,8,?,Type-704,artillery locating radar,8,?,2014,New,BL-904 version; for use with PLZ-45 155mm guns,8,64,64
Algeria,Denmark,2012,,2,,Scanter-6000,air/sea search radar,2,,2014; 2015,New,For modernization of 2 LSL landing ships; Scanter-6002 version,4.75,9.5,9.5
Algeria,France,2012,,2,,BlueMaster,ASW sonar,2,,2016,New,UMS-4132 version for MEKO-A200 frigate from Germany,10,20,20
Algeria,France,2014,?,3,?,FLASH,ASW sonar,3,,2016,New,For 3 Lynx Mk-140 helicopters from UK; Compact FLASH version,2,6,6
Algeria,Italy,2012,?,6,,T-200,AGS radar,6,?,2013; 2014,New,For modification of 6 King Air-350 transport aircraft to ground surveillance aircraft,2,12,12
Algeria,Netherlands,2013,,3,,SMART,air search radar,3,,2015; 2016,New,Part of EUR21 m deal; SMART-S version; for 3 C-28A frigates from China,12.5,37.5,37.5
Algeria,Russia,1997,?,1,,Garpun,sea search radar,1,,2000,New,For modernization of 1 Project-1234 (Nanuchka or Hamidou) corvette,5,5,5
Algeria,Russia,2007,?,2,,Garpun,sea search radar,2,,2011; 2012,New,For modernization of 2 Project-1234 (Nanuchka or Hamidou) corvettes,5,10,10
Algeria,Russia,2006,?,5,?,Kasta-2E2,air search radar,5,?,2012; 2013; 2014; 2015; 2016,New,For use with Pantsyr AD systems,9,45,45
Algeria,Russia,1997,?,1,,MR-104 Rys,fire control radar,1,,2000,New,For modernization of 1 Project-1159 (Koni or Mourad Rais) frigate,2.25,2.25,2.25
Algeria,Russia,1997,?,2,?,Pozitiv-ME1.2,air/sea search radar,2,,2000,New,For modernization of 1 Project-1159 (Koni or Mourad Rais) frigate and 1 Project-1234 (Nanuchka or Hamidou) corvette,5,10,10
Algeria,Russia,2007,?,4,?,Pozitiv-ME1.2,air/sea search radar,4,,2011; 2012,New,For modernization of 2 Project-1159 (Koni or Rais) frigates and 2 Project-1234 (Nanuchka or Hamidou) corvettes,5,20,20
